200 300 600
135 290 144 290
135 291 200 291
135 292 200 292
135 293 200 293
135 295 200 295
135 74 153 74
135 93 153 93
136 292 136 293
137 292 137 293
138 290 138 291
138 292 138 293
139 155 139 203
140 292 140 293
141 155 141 203
141 292 141 293
142 155 142 203
142 292 142 293
144 155 144 203
144 163 145 163
144 166 145 166
144 168 145 168
144 192 145 192
144 197 145 197
144 288 144 291
144 289 147 289
144 74 144 93
145 155 145 203
145 292 145 293
146 292 146 293
147 288 147 291
147 291 147 292
147 292 147 293
150 291 150 292
153 0 153 155
153 291 153 292
154 203 154 204
160 155 160 203
161 292 161 293
162 292 162 293
163 0 163 155
163 155 163 203
163 292 163 293
165 0 165 155
165 15 184 15
165 44 184 44
167 155 167 203
168 295 168 300
169 155 169 203
174 278 174 281
177 292 177 293
18 0 18 18
18 6 60 6
180 292 180 293
181 292 181 293
183 155 183 203
184 0 184 155
192 278 192 281
192 292 192 293
194 291 194 292
197 155 197 203
197 291 197 292
197 292 197 293
198 291 198 292
199 155 199 203
199 163 200 163
2 0 2 32
2 28 10 28
2 31 10 31
30 0 30 6
60 0 60 300
72 0 72 300
77 0 77 300
77 167 94 167
77 226 94 226
77 247 94 247
77 258 94 258
77 293 94 293
77 294 94 294
77 295 94 295
77 296 94 296
77 299 91 299
78 295 78 296
84 226 84 247
87 296 87 299
87 298 91 298
90 258 90 293
91 247 91 258
91 249 94 249
91 296 91 300
93 295 93 296
94 0 94 300
94 10 114 10
94 108 135 108
94 110 116 110
94 115 116 115
94 116 97 116
94 117 95 117
94 118 95 118
94 120 97 120
94 127 97 127
94 131 97 131
94 172 135 172
94 18 135 18
94 189 95 189
94 197 95 197
94 205 95 205
94 213 100 213
94 246 100 246
94 247 95 247
94 249 95 249
94 250 135 250
94 251 108 251
94 252 108 252
94 253 108 253
94 254 108 254
94 255 135 255
94 256 95 256
94 263 95 263
94 264 95 264
94 266 95 266
94 268 95 268
94 269 95 269
94 271 95 271
94 272 95 272
94 273 95 273
94 274 95 274
94 278 95 278
94 279 95 279
94 280 95 280
94 281 95 281
94 284 95 284
94 285 95 285
94 288 135 288
94 289 133 289
94 290 131 290
94 291 133 291
94 292 114 292
94 299 135 299
94 9 114 9
95 116 95 120
95 117 96 117
95 172 95 213
95 246 95 250
95 248 97 248
95 252 95 253
95 253 95 254
95 255 95 288
95 259 103 259
95 260 100 260
95 261 100 261
95 265 103 265
95 266 103 266
95 267 103 267
95 270 100 270
95 274 103 274
95 277 103 277
95 278 103 278
95 279 103 279
95 280 103 280
95 287 103 287
96 116 96 120
96 118 97 118
96 119 97 119
96 120 96 127
96 122 97 122
96 123 97 123
96 124 97 124
96 125 97 125
96 126 97 126
96 248 96 250
96 249 97 249
96 252 96 253
96 253 96 254
96 254 96 255
96 265 96 266
96 279 96 280
96 280 96 287
96 287 96 288
97 115 97 172
97 123 110 123
97 126 110 126
97 246 97 250
97 247 99 247
97 248 99 248
97 252 97 253
97 253 97 254
97 254 97 255
97 265 97 266
97 279 97 280
97 280 97 287
97 287 97 288
98 246 98 247
98 247 98 248
98 252 98 253
98 253 98 254
98 254 98 255
98 280 98 287
99 246 99 250
99 247 100 247
99 248 100 248
99 249 100 249
99 253 99 254
99 261 99 265
99 287 99 288
