score,title,username,date,review,label
1.0,The unnecessary sex scenes ruin and otherwise very good movie 9/10,rlymzv,25 July 2023,"The unnecessary sex scenes ruin and otherwise very good movie 9/10. We get about 2 hours and 57 minutes of physics, political intrigue, bureaucratic management, and 3 minutes of soft core porn that does NOTHING to move the film forward. As a student of physics, it was great watching a movie try to explain some of the problems in physics to the general public. Oppenheimer had a very high IQ, but along with that came some of his faults. It wasn't necessary to show these in bazaar way of him having sex in government meetings.I'm thinking about President Kennedy, you've probably seen the movies ""PT 109"" as well as the movie ""13 Days"". These two great movies were well received, and did a good job describing President Kennedy at various points in his life. They managed to do this without giving us sex scenes of President Kennedy with Marilyn Monroe, Gene Tierney, or others.The movie is already quite long (3 hours) the removal of 3 minutes would make it VASTLY superior and make the movie available to younger audiences who would also enjoy it. When the movie is available on home video, I will buy a copy and edit out the filth and make a much better copy for myself. There was no need to include total nude sex scenes in this movie. It takes away the concentration that the public had in the conversation that they were tying to have. Sadly that actress will be forever known as the naked chick in the Oppenheimer movie.Some will say the soft core porn was needed for the story. Just as not having a ""steamy sex scene"" prevents Casablanca from being a classic...",Oppenheimer
7.0,Just enjoy it. It's funny.,jcollins-458-415387,23 July 2023,"First off, I'm a 60 year-old white male and this movie wasn't even made for me.If your at all interested, then go see this movie. It's funny. It has a lot of funny lines and scenes.The recreation of the set is incredible, but maybe a little vidual indigestion. You adapt quickly.The characters are really good. Perfect for what they are expected to be. Both the main Barbie and Ken are excellently portrayed.There is a feminist overtone, but there is no lack of irony and mockery of both sexes. No one is asking you to be moved or to change your political or other persuasion. Just relax and enjoy it as a comedy.The people who criticize this movie for political or macho reasons are way out of bounds and are too easily swayed by today's political environment. This move is a funny comedy that might actually open your eyes to a feminist point of view of you choose to absorb it. If not, you'll still laugh and call it a good time.",Barbie
9.0,Cinematic masterpiece......It Might puncture the Academy Jury's Minds once again!!,ChandRath,21 July 2023,"Christopher Nolan, known for his technical brilliance, delves into the biographical genre for the first time with ""Oppenheimer."" putting a unique spin on the portrayal of the legendary figure. One notable aspect of Nolan's directorial style is his ability to focus on characters and their emotions. Similarly, he successfully attempts to depict the complex character of Oppenheimer, who, in reality, had two distinct sides.The first aspect celebrates Oppenheimer's role as the creator of the most powerful weapons known to mankind, while the second part sheds light on his realization that humanity now possesses the capability to potentially destroy the entire planet. Classic Nolan handles this duality of Oppenheimer's character amazingly, making the movie a thought-provoking experience for those who appreciate historical biographies and the moral dilemmas they present.Coming to the acting, I must say it's a masterpiece! The fusion of top-notch actors is exceptional, and everyone seamlessly belongs to that era. Cillian Murphy is absolutely perfect for the role; he elevates the film to new heights with his phenomenal performance, making it a true cinematic gem that will be remembered for years to come. And RDJ, his new avatar and performance solidifies the film's status as a cinematic gem. Their performances together are simply extraordinary, adding an unforgettable layer of brilliance to the movie.In summary, ""Oppenheimer"" may not appeal to everyone, but for science enthusiasts and history buffs, it offers a compelling and emotionally engaging cinematic experience.Nolan's masterful direction and the portrayal of Oppenheimer's complex character make this movie a worthwhile watch for those intrigued by historical and scientific narratives.",Oppenheimer
10.0,A Breathtaking Experience.,rafaelchris-98110,24 July 2023,"I was highly anticipating this movie since the trailer dropped earlier this year since I was a big fan of Nolan's Dunkirk. Going in, I was scared that this movie wasn't going to live up to my expectation but by the end I could say that it has surpassed it. The visuals were truly spectacular, the score was fantastic, cinematography even more so. Cillian Murphy's acting was very good as J. Robert Oppenheimer. I felt that he encapsulates the character of Oppenheimer very authentically and makes him a very complicated figure that we could all sympathise with despite being the father of one of the most destructive weapons that humanity has ever created. All of that couldn't have been done without Murphy's acting. The side characters were also pretty well played by their respective actors with my favourites being Lewis Strauss played by Robert Downey Jr. And Albert Einstein by Tom Conti. All of this combined making the movie one of the most engaging that I have seen for quite some time in theatres. 10/10.",Oppenheimer
10.0,Barbie Movie left me in tears,immauglydoll,20 July 2023,"I was super excited for the movie since the day they announced it and I've been looking forward to it. I was ready with my pink shirt, popcorn and tickets to the early screening expecting a fun loving and very pink movie.And it sure was a very pink and fun loving movie, but I was not expecting the turn it took. It made me go through so many emotions I wasn't expecting to feel, twist and turns that made me laugh, moments that made me cry and the ending was fantastic to say the least.The Barbie Movie is everything I was expecting and so much more, I think the highlight, other than the amazing message, casting and storytelling, was when John Cena appeared.In summary, I'm not the same person I was 1h and 54m ago.",Barbie
10.0,Must see !,alisubhiabed-40106,23 July 2023,"One of the best movies in the industry, Nolan one again demonstrates his intelligence and imagination, visually and narratively the movie was a masterpiece. One of the best movies in the industry, Nolan one again demonstrates his intelligence and imagination, visually and narratively the movie was a masterpiece. One of the best movies in the industry, Nolan one again demonstrates his intelligence and imagination, visually and narratively the movie was a masterpiece. One of the best movies in the industry, Nolan one again demonstrates his intelligence and imagination, visually and narratively the movie was a masterpiece.",Oppenheimer
1.0,"Boring, long winded, tiring and annoying. Simply a flop.",bogdanmatiu,28 July 2023,"You will get a 3-hour movie that is not entertaining, not edifying, and not intellectually informative. The plot can be summarized in less than 5 minutes, therefore, you will get a lot of filling time when nothing really happens. Half o the movie is a combination of a boring meeting that never ends - you get one of these every day at work - and a mock trial. Moreover, add to it a lack of intellectual depth in all the conversations. The movie really misses the mark on all the aspects of plot/action, a shallow to no conversation/dialog between actors, unmoving/ordinary scenes, and a lack of character development. Add to it a continuous annoying sound that is meant to fill in stridently for the lack of emotion because the movie never gets going. If you don't like it, don't be afraid to recognize it because there is almost nothing to like. My recommendation is not to spend the time.",Oppenheimer
7.0,A lot like the Lego Movie - and there's a lot to like,Vic_max,29 July 2023,"As a guy who never played with Barbie dolls, I was surprised to be caught up in the enthusiasm to see this movie; I purchased tickets well in advance when they first went on sale.It's amazing to think that, a few years back, Amy Schumer was going to star in the title role. Though after seeing Margot Robbie, it's hard to imagine anyone else in that spot.Anyway ... like most moviegoers - I enjoyed this movie. It's a lot like The Lego Movie with its high energy, colorful world-building, meta jokes, self-aware characters and variety of insider (fan) humor. The ""2001 A Space Odyssey"" beginning, (clearly aimed at adult viewers) was priceless.However unlike The Lego Movie I can definitely say that the first half was enormously more entertaining compared to the second. The first half was energized by all the Barbie accessories, character introductions, high-energy music and a very cool plot reveal involving the ""real world"".But unlike The Lego Movie, the second half (while not bad) wasn't able to keep the momentum going. While there was a lot of action and drama ... it felt more hit-and-miss.The message was good: you don't have to be perfect to be happy ... just be true to yourself. However, its delivery felt a bit too complex for kids - and maybe even for some adults.The empowering commentary about womanhood was eloquent ... but it seemed like the writers had trouble getting from that point to a strong and uplifting ending. It almost felt a bit melancholy for whatever reason.But - don';t let that stop you from enjoying this movie! There's a lot to like and it's kind of a cultural moment and opportunity to connect with all the Barbie-love that spans generations. Enjoy this experience with a big audience and you'll be glad you did.",Barbie
10.0,The best film I have ever seen,dalegoodwin-07234,22 July 2023,I am a film enjoyed and I have seen many films and honesty I can say without a doubt in my mind Oppenheimer is the best motion picture I have ever seen from its breath taking cinematography to its incredible story telling its quite literally perfection.You may be thinking its only for people who enjoy and know a lot about science but it's not the case while yes their may be the odd term the average person might be unfamiliar with it is soon explained well and in detail but I will say it will certainly be more enjoyable to someone who knows a bit about science and enjoys films.You may also be thinking I would rather watch barbie well to that I say more fool you I have seen both and I can say without a doubt in my mind oppenheimer is better in every way shape or form.If you haven't seen it don't walk run to your nearest cinema and purchase a ticket you will not regret it I can guarantee it.,Oppenheimer
6.0,If you are looking for a fun movie you came to the right place!,MrM7md30,23 July 2023,"I liked how the movie was fun and colorful and had a basic story, if you want to chill and have fun this is the right movie, I watched it after Oppenheimer.Barbie was a movie for all people you can watch it with your friends or family.I got my tickets because of ""Ryan Gosling"" I think he carried the movie and made it better and funnier if it was someone else. I'll never buy a ticket for Barbie.So take my advice and go get your tickets and have fun.. so that's my basic review for a movie I hope you liked it and if you disagree with me put dislike let me know if you like my opinion.. , :)",Barbie
10.0,Excellent Chemistry of Plot and Fandom!,sopmaker,21 July 2023,"""Oppenheimer"" is an extraordinary piece of cinema that showcases the brilliance of Christopher Nolan's direction and the exceptional performance of Cillian Murphy. Nolan's intelligent filmmaking demands the audience's full attention, weaving narratives and time periods seamlessly to tell the captivating story of J. Robert Oppenheimer. Murphy's portrayal is nothing short of mesmerizing, earning him an Oscar-worthy performance as he navigates the complexities of this historical figure.Nolan's non-sequential storytelling style adds depth and intrigue to the narrative, immersing us in Oppenheimer's life, successes, and personal struggles. The film's runtime of three hours flies by, thanks to Nolan's expert pacing and the engrossing plot. The director's commitment to practical effects heightens the tension during pivotal moments, keeping viewers on the edge of their seats.Supporting actors, including Matt Damon, Robert Downey Jr, Emily Blunt, and Florence Pugh, deliver powerful performances, adding layers to the film's exploration of Oppenheimer's relationships and choices. Each character represents significant aspects of his life, making us question the price of scientific advancements during wartime.Nolan deftly explores the moral conflicts that shaped Oppenheimer's legacy, humanizing him beyond the label of ""the father of the atomic bomb."" The film delves into the consequences of his decisions and the burden he carried throughout his life. It successfully portrays Oppenheimer as a multi-faceted figure, neither a hero nor a villain but a flawed human whose actions changed the world forever.""Oppenheimer"" is not your typical biopic; it challenges the audience to ponder the ethical complexities surrounding the development and use of nuclear weapons. Nolan's direction and Murphy's performance make this historical figure relatable and thought-provoking. The film's brilliance lies in its ability to entertain while sparking meaningful discussions about the consequences of scientific discoveries and the impact of personal choices on a global scale.Overall, ""Oppenheimer"" is a captivating and intellectually stimulating cinematic experience. Nolan's artistic vision, coupled with Cillian Murphy's remarkable acting, elevates this film to the pinnacle of biographical storytelling. It serves as a powerful reminder of the importance of responsible decision-making and the enduring effects of our actions on the world. A must-watch for film enthusiasts and history buffs alike, ""Oppenheimer"" exemplifies the finest form of filmmaking that both educates and entertains its audience.",Oppenheimer
10.0,Pretty Pink,ProRedLion100,25 July 2023,"Barbie is a beautifully heart-warming extravaganza for both boys and girls alike. A gloriously pink, joy-filled experience that I can't wait to go and see again. From the wonderful set design and perfect casting to the brilliant soundtrack and story to match, there is something for everyone to enjoy.I can't pay more respect to the cast, Margot Robbie as stereotypical Barbie and Ryan Gosling as Ken are the obvious standouts, they certainly delivered on the hype - but I was pleasantly surprised by Will Ferrell's short but hilarious moments on screen as well as Michael Cera as Alan (a true unsung hero).As mentioned, the set design is really quite stunning. Gazing upon Barbie land in all it's pink glory is pure joy, there is no doubt the set design is one of the films greatest strengths. But Barbie doesn't just look great, it sounds great with its vibrant collection of tracks and performances (including Ryan Gosling and his guitar).Barbie wraps up all the fun and colour with a solid story and strong positive message that fits perfectly in the world Greta Gerwig created. Of course some people may not enjoy the social commentary that pervades Barbie but I believe Greta Gerwig laid out the foundations for such a message perfectly, empowering girls and boys of all ages.Barbie feels like a must see movie, it built the hype and then delivered exceptionally. If you haven't been tempted yet you're missing out on all the fun that this beautiful movie has to offer.",Barbie
9.0,There is an art-house movie under all that pink,bjacob,21 July 2023,"I tend to gravitate towards French cinema and the classics; the idea of watching a franchise movie about Barbie seemed mildly repellent at first. Well, I am glad I kept an open mind.This is a riotously funny, zany meta comedy with touches of Wes Anderson and Bollywood; yet also strangely affecting. The idea of giving a plastic doll an existential crisis may seem gimmicky, yet it works. The cracks showing in the perfect façade of the perfect Barbie world are rendered through metaphors that hit the mark, full of a strange melancholia. I am usually put off by sentimentalisms: here, thankfully, they are kept at a bare minimum, even in the ending.Overall, I am astonished this film exists at all. I imagine the authors meeting with a slightly distracted Mattel executive, being given a gazillion of dollars with the vaguest of briefs, and running away with it, to make a film that would send any corporate committee into a tailspin -- I imagine a first projection with the producers fainting and having a heart attack -- yet also make them laugh all the way to the bank. However it happened, chapeau. I am glad I went, I'll buy the dvd as well. I can see myself rewatching it to be sure I got all the micro gags and layers of meaning, but also putting it on when I need a little pick me up.",Barbie
5.0,More of a marketing flick,shadowtramp,22 July 2023,"The brilliant marketing is what led us tonight to pay for the tickets. The brilliance ends there.Performance of the lead actors is very good - as good as you may expect given the very poor story and weak directing. And that's it. The humour is forced. The satire is replaced by lectures conveyed by characters. All the ""bad"" characters are absolutely flat, lacking any depth. Even dancing is very poorly choreographed. Whatever you may expect from the trailers is missing in the movie.The photography is good though. So the average is 5/10 It is another plainly bad movie that is trying to hide behind agenda.",Barbie
8.0,Pretty good,amatullahdaya,22 July 2023,"I have watched barbie since I was born, I've collected the dolls the dresses and many other barbie themed things. I know all the movies by heart and the songs and I love barbie so when I saw this movies trailer and the marketing I went crazy!! I was so excited to watch it and support this movie.The beginning of the movie was quite fun and funny, very colorful. Margot Robbie and Ryan Gosling play their roles so well and really carry the movie. It contained all the things expected from a barbie movie. The plot was great but halfway through the movie it becomes very serious and turns a bit preachy so if you want to take your kids to the movies to watch this, Id suggest not doing so because I don't think they'll understand much about patriarchy and sexism, its definitely not aimed at younger children (12 and below).I was hoping for some more funny moments and homage to the barbie movies so I was a tad bit disappointed not to see it however it was still a nice movie, enjoyable and a feel good movie.I understand the message given out that you can be whoever you want to be but it could have been slightly more light hearted .",Barbie
8.0,Welcome to the Dollhouse,aciessi,25 July 2023,"Barbie: the symbol of pink, pastel perfection. An iconic piece of American pop culture for more than 50 years. But nothing can prepare you for her big screen debut.Barbie is a risky and courageous new movie. This is a film that will be discussed and talked about for years to come. Greta Gerwig takes Matel's historic creation, every triumph and failure in its catalogue, and places it all within a complicated and challenging critique of what it means to be a woman. If I could compare it to another movie, I would say it's very reminiscent of Robert Townsend's Hollywood Shuffle. It leaves you wondering what kind of insane negotiations went between the film's creative team and Matel, who is also one the targets of the film's purposeful ire. It is one thing to have completed this film, and absolutely another for it to have also gotten the overwhelming promotional campaign in the months leading up to its release. Gerwig's bet is paying off big time, and you have to admit, that takes a lot of guts.Concept alone certainly isn't the film's only strength. The film is beautiful to look at. The production design is second to none in its meticulous construction of a real-life Barbie paradise. Respectively, Margot Robbie and Ryan Gosling give fantastic performances with plenty of complexity and dimension. I was the most touched by Rhea Perlman who gives a heartwarming portrayal of the founding mother of Barbieland, Ruth Handler. Gerwig and Baumbauch's screenplay is biting and irreverent, and by the end, nobody is left unscathed. But equally so, I belly laughed quite often and marveled at how well so many of the jokes land. The emotional depth of the film also struck a very powerful cord, complete with an ending montage that can practically leave anyone misty-eyed.Having been released on the same day as Oppenheimer, it's safe to say that the event movie is back and better than ever. After three years of streaming, it can't be overstated how wonderful that is.",Barbie
7.0,Barbie is awesome,danielatala8,21 July 2023,"Let's just get it out of the way, I freaking love Barbie. So many memories and ideals are connected to her that even without the movie I still get nostalgic about. The iconography, the looks, Ken (~swoon~)... there was one problem though, I am a boy, I could never get a Barbie because my parents never would let me have one. Instead I stole my cousins mermaid Barbie and treated her like one of my most precious toys until she disappeared, perhaps she went into Barbieland? Greta Gerwig's movie seemingly let us tap into all of that and more thanks to a great PR team that I haven't seen work their magic since a long long time, in other words hype has been BUILT. How does it fare? I left the cinema with a smile but I wish that it could have something MORE. Let me explain down below.Barbie is a movie that is about Barbie, the doll, the idea, living in a world separate from reality called Barbieland a world where Barbie is everything, from the president to a Nobel prize laureate to a doctor. She runs this world in all her iterations, until the stereotypical Barbie somehow gets thoughts about death, she gets a flat foot (CHAOS!) and she gets cellulites (THE HORROR!)- she has to fix this by travelling in the real world with Ken and in this she meets a hard working mother and her cynical daughter- fun hijinks galore!This movie has got the aesthetics DOWN, like it's so pretty and so meticulously done with all the details, to how the actors act and how the worlds are built- this is more on how the Barbie world is, because when it mixes with the real world. That's where things get a bit complicated.Example; There's no actual ""real"" separation between Barbieland or the real world, meaning that the real world feels like a mirror flipped version of Barbieland where people act just as outlandish as the titular dolls. I kinda wish that Greta would've made a script that actually puts Barbie in real world, how it is right now, and I know that Greta is great at making reality feel relatable and recognisable and human but I felt there was not much of a difference. Maybe it was so that they could fill the whole Mattel-company storyline in it? Either way I wish that Greta would play more with these contrasts and fish-out-of-water-feelings.This in turn makes the other characters that should be relatable for the moviegoers- i.e. The daughter and the mother feel painfully flat and just unnecessary for the story overall, despite making them ""deep"" they felt honestly super flat, like dolls and stereotypes of characters in a movie. And I don't think that was Greta's intention, not if you see the movies that she's done before where there's always a singular perspective but here I think she's kind of confused on who to use the perspective the most on. Luckily it is Barbie and Ken for the most of the movie, Margot Robbie and Ryan Gosling are doing a fantastic job at playing these characters and it's in their moments where the comedy shines the most.Another missed opportunity generally I think is just addressing the gay history that is tied to the Barbie brand. And how gay men like me were influenced by it- not to say that this was absolutely important for a movie like this but I still feel like it would've made sense, at least the gay doll of 90s Ken (who was made popular in the 90s due to being bought by mostly gay men) made an appearance, if only briefly. I know, I shouldn't make demands about this but I feel like there would've been something even more interesting with addressing all the boys that play with Barbie dolls, the ""real world"" feels very black and white in this sense. But I regress, this is just a tangent and a thought!I love the comedic and camp elements, I think they are what sustain the movie and the fashion of course. Also I love that it brings forth the themes of feminism as that is needed in a movie like this, I think that it does so in a great manner. Is it the movie that I wanted? Not really, but I'm glad that it exists, I'm glad that I saw it. Maybe I was too much swayed by the whole PR marketing strategy but I really wanted this to be a new camp and fun fun classic. Instead it feels just good and that's ok. I wanted it to be more of an adult-oriented movie and maybe that's where Greta kind of flubbed it, trying to make it both kid and adult friendly but she honestly doesn't succeed at neither and that's alright.",Barbie
