1000 100000
403 734 303193828
418 662 661678384
677 715 420058440
266 290 510713547
880 419 157033844
500 527 463409340
588 361 77944842
903 830 892920530
693 677 812968423
879 958 742387751
246 490 812198648
945 879 523023537
427 943 955094543
111 711 816534394
310 718 685452169
472 416 833386836
968 815 942263951
24 423 862365799
422 627 743489295
675 228 602578583
971 779 624284632
908 742 528559247
885 603 137856905
795 600 914872254
814 37 696800146
675 642 555551752
34 980 648112032
10 139 553286669
476 862 168412766
420 561 449426714
630 920 819737037
980 883 978943418
95 680 80000485
931 754 352244282
11 43 195257834
738 16 218276213
150 601 338755659
463 836 163538276
748 764 436753925
665 697 71394819
228 75 543718714
453 364 102170566
768 711 288878517
714 601 820460303
849 807 988892047
350 857 942372831
882 905 350053276
679 399 949537891
94 979 865661716
669 44 977834700
421 699 680430659
217 766 798387662
649 891 157174427
287 503 118649637
58 409 602826964
718 835 685745682
250 760 437138930
619 892 313783045
599 118 492750739
578 895 80186498
292 4 798653597
149 458 526400639
282 256 252366426
57 668 75686368
877 880 552225935
356 669 661381732
480 404 598408263
716 141 917174908
700 425 365404141
415 919 442160008
583 330 216002177
912 806 753356123
960 958 972114922
295 283 925511332
353 488 899697534
584 854 489333611
846 896 478691013
272 992 51943974
8 2 661603317
636 225 860505136
966 146 743259410
359 909 339387993
979 976 456269568
759 942 640813621
656 319 146692188
694 118 752549168
343 486 873213357
316 163 278804893
101 459 950601346
825 895 620925226
921 912 233186656
442 795 444704790
355 275 797597678
307 796 195071222
161 240 768252119
846 979 953635983
801 530 487259113
941 996 311596141
680 711 886592439
118 481 932394897
921 250 18251052
728 661 192837230
865 327 128042754
812 945 513533603
129 866 486156708
681 784 980124790
765 136 814304881
976 967 276624423
884 98 163165643
804 701 784118591
676 571 994966673
85 252 892284156
434 848 596635284
961 829 498153256
444 710 776400203
171 354 668076113
978 566 217195091
590 868 38743765
949 391 293144778
594 532 105805507
880 413 78070863
697 585 468440015
881 956 210780166
684 576 299502347
871 747 578473809
421 512 712792690
765 911 405801158
518 644 765740989
995 904 297960192
224 462 714835096
734 569 995582937
818 250 350216148
992 48 749906778
857 880 504948681
700 995 655510339
678 633 782260297
576 927 260783732
253 228 624448756
850 798 530110703
209 867 934073243
995 930 221957314
997 956 287260313
709 837 300651732
228 336 354175941
966 943 333900608
649 340 31053213
459 709 350503204
558 769 456248839
625 21 386997269
636 657 887189120
254 534 798723997
359 956 376489977
956 912 499240270
418 409 642662675
307 685 588807398
547 578 604257817
375 822 957682747
658 581 980011182
352 648 913850655
535 510 968435472
678 562 243482169
935 861 554326996
224 361 930091526
928 747 808471124
314 794 256337255
496 988 601243366
937 579 375808304
677 331 287193911
523 10 766741543
791 965 888454485
693 433 361342459
860 433 629375090
818 555 810292957
594 875 397119190
44 809 595438472
915 851 623946285
468 593 202780228
665 482 73673382
628 830 781724284
783 337 813825130
949 522 614245435
849 927 277770620
707 139 800165376
722 558 120512673
458 456 724130286
309 449 137178020
896 306 639973207
201 356 10899296
738 957 34728647
910 266 616727962
299 715 284504800
481 187 13281642
438 80 992788568
923 804 308012584
795 955 830196619
790 916 960672357
383 661 476242179
265 783 300447946
176 974 457811354
564 856 273408913
955 954 263825587
22 340 19885255
997 904 818888300
140 681 997553933
815 731 123189883
748 980 119919958
951 820 536286225
783 383 306471064
687 967 83587072
501 193 616557861
553 427 419920393
817 798 608157257
404 6 142611894
935 926 69016418
803 969 599962984
433 61 716374111
988 342 110710413
227 309 633998595
851 270 405582781
892 877 928953454
86 54 783477451
305 32 282080075
950 951 803724716
697 899 152637081
936 967 481896561
699 587 866687245
43 423 519626839
246 91 167679201
767 344 717765383
872 921 795317946
502 859 226162468
955 156 664839735
670 712 753355590
800 2 292076611
532 978 872180063
954 964 299792119
578 106 855313244
232 149 426698639
880 404 293117113
997 705 964627235
87 299 931005483
919 832 876022719
807 560 515413332
267 240 549146313
781 492 503562386
609 983 641892685
687 662 981317902
956 794 695966414
804 539 646203744
824 892 493465528
640 782 84201149
905 975 200902253
841 157 221401037
8 16 768844399
778 389 671524354
977 316 62656301
679 844 546673950
504 737 318476844
248 961 969694788
472 180 205683657
296 48 657356720
377 295 842615471
264 37 947566613
575 842 505231492
625 405 975522138
574 23 926512002
756 636 564254627
24 127 598839411
90 771 528452929
750 374 666661842
849 856 842837604
352 170 394256859
13 664 969325204
742 284 132421919
451 532 37670258
975 144 282832894
685 972 887088164
276 45 893673064
240 17 114510062
888 932 831204269
534 18 502564194
689 563 730066515
679 709 918016764
362 671 240494968
298 866 607178854
875 982 843336854
969 188 286086789
791 478 145798231
721 793 616786181
491 803 351368609
683 238 687946188
510 544 650265288
453 481 183902413
932 319 717480402
596 656 488318898
956 627 338267050
812 280 41161610
90 981 765618589
725 297 600728240
29 97 482938614
650 505 629020207
566 133 623161781
760 557 279388486
468 482 435113759
849 776 173550557
97 206 876439995
391 914 961967100
802 35 806896979
902 518 16433200
959 990 215660507
927 825 261566323
538 560 128572976
112 881 287212662
481 501 23083380
550 193 299762944
554 681 53259881
463 43 59080994
783 993 984418501
870 969 174203916
335 823 860921188
599 949 982307153
883 876 476072926
190 117 847813819
273 95 712289017
975 36 408412970
546 159 849095967
75 408 666396221
765 464 804193934
666 657 637409568
312 683 644527482
921 885 315292203
434 207 76443292
681 315 486701164
288 85 337196042
395 719 651821214
973 40 960714293
671 450 195198001
975 549 628625808
236 315 258169233
518 409 458641431
175 81 98072992
623 274 711071069
883 842 229759803
669 409 83118065
484 68 2290769
996 704 53367808
897 794 167552531
265 418 39793293
987 847 393669358
828 281 376417129
388 472 884250343
866 556 401255371
844 982 738995865
187 51 724435
726 320 147435717
538 934 29640003
833 557 889210554
885 900 802536022
941 767 386424080
696 699 841495425
226 157 139762777
33 735 846947653
57 39 382866149
224 146 181530684
528 488 679144959
451 928 112211743
15 612 460624987
494 508 730362301
755 484 797864025
49 480 488549582
741 464 389574944
541 716 827470092
225 281 600239075
343 809 998057362
831 537 908706683
391 406 627987173
498 590 306709569
964 644 823179422
856 888 521036314
976 962 558802793
934 947 192619297
554 894 578303629
656 365 642501179
502 307 513408759
946 771 487179153
998 235 406986762
830 448 395967039
724 756 754598671
253 284 309018259
928 967 486273068
753 859 97136087
156 314 578435299
217 64 163559828
257 36 712721911
622 861 258700084
748 877 425744524
479 566 932712192
320 718 857399737
997 161 63017521
336 839 805019271
830 164 397278011
494 115 166467512
52 662 119681154
591 460 802393228
926 745 516728394
912 198 612549207
866 141 841759917
195 660 162979559
479 430 744970559
410 403 706543150
303 731 106002093
771 732 214494542
438 617 167254546
636 193 555556170
379 793 51574267
348 55 692156634
116 973 642189804
761 682 389376136
417 473 927244366
207 42 521539219
631 814 944045731
740 648 380468053
455 839 892102053
573 82 497145498
497 731 573887284
265 806 756378569
499 40 876033033
686 541 251757339
160 627 592939791
370 569 528079740
120 552 886465939
308 694 231250518
292 449 663038965
814 856 777618191
501 870 8642994
870 612 312699194
102 305 867617651
384 108 23147539
497 282 122223645
554 730 999581799
951 947 187320450
185 784 133323644
904 923 797119788
280 892 905668285
343 116 17893764
724 278 609292049
952 506 162804585
757 92 637679393
406 673 29898929
964 858 568356033
331 464 485626921
368 725 610508880
269 102 289818767
445 97 339260427
956 580 374932245
20 127 875965854
996 528 637152851
527 181 927347129
540 787 71519827
202 750 136985942
154 645 413107510
897 935 362329397
467 410 144557990
334 405 609048548
829 693 751240245
378 71 570029030
605 283 524675246
288 239 816680311
235 762 287552344
724 682 475323941
716 49 974028853
807 775 390132310
194 255 157105077
359 212 311817919
66 128 570265828
675 965 795782183
704 649 992410667
365 443 547690626
147 568 655502009
576 965 702540712
994 49 4375398
388 469 164435639
375 820 310765822
579 615 719306092
467 749 171624991
161 20 441287034
219 212 847055273
727 217 962788729
595 67 555835242
394 775 490913920
805 949 473713207
417 484 993052286
610 532 655719384
964 221 98416894
854 863 52549607
396 621 929550439
809 110 199016264
887 706 810612739
715 676 731079104
311 928 340632485
835 922 607887748
889 954 778372500
580 63 637616819
131 613 833510174
788 827 266499591
880 199 896324659
165 706 654994360
812 341 572945405
724 613 328028219
889 856 622952378
225 367 373674760
864 973 744324329
298 774 54279053
369 118 906325300
493 55 153382669
765 724 449692135
803 609 210580502
725 121 226550522
777 248 800513359
937 659 161908348
729 710 51486265
394 672 650378745
476 809 639350945
571 819 796833257
586 781 753593133
555 558 828603141
707 842 914820232
876 633 250267774
911 930 484015013
589 929 187893430
900 944 643173198
807 90 572819621
189 925 705429050
475 863 304048121
73 412 818378312
625 133 385323884
474 705 34614881
905 881 240962008
745 828 883982832
835 821 183098896
756 788 542216012
241 942 74636218
997 930 413511237
712 723 674062609
103 98 647483924
989 85 615213749
912 385 119455806
150 577 153343297
987 652 69391886
472 872 367833027
473 221 951638649
951 990 310689397
896 612 799820799
422 191 225247648
732 774 398581704
991 243 502578744
731 992 795349401
894 376 257661332
401 331 200696128
848 486 212298348
797 829 201499331
439 981 75399892
686 913 59461044
689 962 306416852
520 290 394113404
927 543 829981049
763 653 126427045
719 775 970766672
281 961 79913857
361 968 769865985
188 271 977282135
938 945 63696745
876 886 149712848
191 905 148213762
675 341 555580859
136 662 168459615
857 765 151034071
883 917 282847146
503 877 860132127
55 869 791587406
665 944 762885697
22 686 200267303
875 160 216176213
968 852 533778889
247 391 54923984
721 869 274051767
76 487 250248620
447 873 350887752
382 161 217792015
685 78 830976612
820 459 666770741
108 500 635825864
307 544 750633141
444 68 961929337
442 839 788578590
833 736 937701831
664 223 936653776
870 916 993350303
588 890 819437809
219 547 212948188
816 997 772168365
393 747 517626592
899 726 486239721
822 237 451271182
266 603 345025001
881 855 797458775
484 448 310574874
754 634 938357681
807 788 795085323
760 518 709454238
982 418 30016350
944 817 511606107
782 975 714366553
738 601 283844610
529 248 946283596
196 469 901657074
680 692 884436584
518 868 687745047
435 339 113233845
522 108 61500846
879 97 721423292
530 166 331774639
518 832 687429339
39 572 216040702
64 720 335737463
927 924 552614369
805 518 435371262
593 175 766628859
876 860 869155659
893 126 953149257
804 299 579670319
385 921 422162215
986 961 934876972
682 767 620956618
388 636 151944036
612 568 974650305
267 578 208643769
438 192 673752304
967 8 351933343
106 556 95939701
713 544 233733027
226 507 949872031
198 491 171146346
22 290 82884903
319 891 427188073
872 749 917959331
264 163 131661126
241 511 979439992
707 365 917553768
739 792 685775007
765 948 131894089
643 358 658102384
622 370 22998171
450 441 246961044
764 697 676688386
517 947 73480466
453 915 528498556
915 941 322673138
26 785 908946727
502 956 165521342
861 956 400077624
315 134 800664812
456 749 81216759
455 726 571125060
959 478 728537010
266 378 15133697
143 218 373209957
893 64 444280515
517 527 680553572
940 621 393399829
935 662 202196593
345 591 271375988
697 696 384621165
698 810 578881700
855 357 635734449
531 784 293351748
662 870 126927894
840 152 556443098
514 734 387229648
58 840 447463556
435 591 21284463
584 705 753870723
979 364 304728160
910 499 740957304
672 330 381623780
814 941 258024479
188 426 586840935
253 526 406134439
958 927 863075106
793 491 658746439
523 556 62838490
509 708 250196272
893 590 289384126
741 141 899849160
798 380 693402748
584 886 705058152
680 460 492147477
791 829 121821573
547 489 488285053
251 234 169604716
968 323 525515029
555 297 164589579
363 189 373752633
545 971 798701808
715 937 88821411
144 654 138068735
478 797 277359992
264 936 477153567
621 888 985004826
882 605 361403839
106 137 70018309
253 890 450484611
494 692 235667236
858 608 429712068
958 919 673900961
610 472 493274055
866 991 624535217
796 578 128592565
374 270 990875042
401 235 585734843
585 358 718229603
921 848 844741448
912 928 138880129
161 243 155544803
52 432 661633347
836 832 840291795
22 420 17356359
51 819 705044263
814 846 114803499
772 987 163476160
451 491 284237529
809 209 148119625
641 643 161706784
571 668 736088247
958 537 518321493
743 154 492091452
704 662 780884726
569 714 326744615
350 998 257774185
249 968 612928403
369 337 578920397
496 418 997899580
840 733 503809163
874 529 536497552
871 793 971377259
939 742 869104752
789 523 730492357
413 877 490275486
926 201 160589635
553 361 911955753
226 88 123571926
451 188 400386194
244 94 711616703
989 900 500485476
765 496 939534057
740 927 92874820
759 970 225985541
451 429 284564724
199 93 293445825
34 352 699860856
955 880 59183261
171 412 736890381
755 902 704584332
917 332 206749233
812 937 501928325
532 174 759710571
672 834 162509459
460 332 357573936
403 723 818530735
209 251 723753672
401 96 730426485
725 892 422105722
880 731 528121200
989 825 340568273
229 187 399522209
902 657 443781147
911 864 122431851
125 145 995248848
607 716 132015895
660 458 603900487
994 989 455981664
558 6 805061541
31 455 86222791
775 309 228140970
466 469 752248414
11 915 228084868
830 702 676273435
325 314 211484684
573 587 860409594
692 886 3136311
916 606 860209662
347 888 800448481
724 705 565288174
883 525 159794123
709 525 464212617
178 493 240777055
634 12 855081186
955 781 651758400
870 970 547537236
115 138 442784926
967 475 389314727
153 301 926847047
718 826 134269800
296 528 577921824
827 887 365796870
711 651 499281326
965 584 697466045
385 530 564630577
731 587 10125650
942 948 699840853
196 731 287403563
796 757 43251234
970 716 841234815
630 812 17431966
550 678 878139946
878 837 407777289
271 823 583536134
569 442 856946388
645 701 205409430
931 794 241518020
483 267 622773201
463 767 401715361
539 429 832047311
885 843 990900317
549 219 953315020
698 434 163922722
887 923 859509775
619 228 441599252
104 711 225770021
960 821 634741901
618 568 3167446
528 649 238734705
335 332 31960536
230 550 909852343
921 941 341762341
979 851 171976818
641 958 830921382
678 672 971099555
839 912 795144746
50 650 354445379
227 596 194127749
974 924 236398625
425 958 532840569
383 542 212745423
790 984 552147413
806 760 85730631
739 262 412023104
537 311 511283667
655 769 200349707
407 577 208481098
854 618 478454007
455 511 41062188
340 290 552591302
349 493 192711957
428 715 176622902
521 23 334015596
965 594 292708375
105 982 576172782
921 425 770678915
921 922 991111531
405 377 480861631
943 605 425759457
410 977 125739576
632 730 306706684
12 211 70284783
90 388 953758978
201 233 992254337
557 307 909316208
924 739 148414258
13 102 189815947
753 901 416844059
444 414 874810897
426 649 447367402
874 821 128219964
347 898 431707952
620 699 290659223
67 39 715344058
648 497 531386151
681 748 688507768
687 668 334040122
890 835 817566742
26 188 88313814
641 526 558097335
831 785 392323066
598 539 746163010
34 33 840178373
484 666 64836737
210 348 245231019
979 451 780602607
583 914 175828467
731 701 969785207
167 479 618468974
662 437 590909833
342 516 596298734
528 572 614922147
216 910 601429238
261 731 690896869
837 422 889936710
779 515 743553744
13 810 679336322
870 978 813812085
817 983 758167872
871 645 832352579
960 232 969419613
843 901 768079213
794 747 588800733
813 281 793993047
282 123 390405280
793 730 808745783
565 951 688279180
662 711 313453628
958 693 582512391
473 371 826230278
202 325 274161729
549 666 864218467
537 739 281239592
613 197 382669029
816 540 37789035
902 249 627567745
811 217 55148387
953 947 582947155
515 338 92906188
511 609 359849114
959 470 608913923
627 162 703093195
875 469 512023694
567 399 401037378
131 655 346441096
788 375 264730454
444 73 383159342
527 688 632063568
240 250 489006695
574 743 108178361
412 578 596537664
775 730 793186122
163 876 528125177
313 71 667669685
248 228 702982035
578 160 860349766
446 298 573885313
890 953 799514445
881 638 597679045
306 697 317482129
53 773 768273399
930 897 316993336
259 664 260213767
948 259 962310302
927 97 41217559
622 719 876378665
688 119 602293098
327 513 587831790
889 936 113600407
339 309 66041149
123 777 9971786
480 772 989932041
948 348 670590007
622 638 380312388
749 604 648776382
669 908 125370736
6 680 204311941
164 712 620389053
447 183 295774782
549 820 286359684
62 330 45298836
805 891 242425318
832 599 340295470
576 123 59841525
852 874 514002698
923 895 467691162
242 275 771002914
978 399 173222922
939 270 137789102
62 108 746567518
836 828 761880137
970 813 235163018
428 496 813307453
723 419 746179671
197 709 206851641
65 356 940961109
889 995 756607122
322 231 908655737
573 526 182859864
678 622 758522558
841 148 167250127
908 740 518651059
599 717 119205710
420 949 874420568
649 621 339621522
6 98 987405224
957 472 458509641
271 221 223330308
964 923 830909064
901 253 592354633
885 957 706670277
602 549 626707021
636 575 243076538
614 228 995034756
964 345 153197607
470 297 146121395
66 192 209842110
42 309 343662997
472 544 621203071
809 864 745819819
825 882 50467502
708 151 386015774
108 66 278104512
285 981 916435842
546 560 769701408
711 872 705972391
510 920 484129215
531 899 806960671
693 782 206770659
235 902 446534010
835 918 414567303
681 85 30799778
643 780 129754864
174 793 372744584
628 407 85463988
760 222 482400361
407 616 345560689
835 770 948442001
836 764 200862607
131 922 483855095
429 633 874333278
250 726 306263797
111 759 553549360
762 972 918711133
868 851 832726374
795 860 420362042
313 300 865269225
928 870 640386304
514 980 719204945
530 616 437534263
915 881 452200912
969 266 451559206
122 712 395466109
761 782 563435382
180 119 710211610
831 715 66263769
984 2 17316153
504 532 290357013
570 854 94837710
43 568 826622711
612 941 447045377
723 299 148089201
593 640 270798850
600 366 747379996
472 831 909569307
584 44 998714723
314 967 868220262
928 923 987817677
749 904 413516643
863 969 787608082
829 911 680080345
257 498 296913137
413 823 232122015
173 949 800196820
750 938 279741833
834 841 323795509
610 839 419487896
712 667 23871222
356 423 902572756
712 818 664627354
316 93 662955263
468 618 959602501
925 443 492126403
852 892 669654042
675 681 199263718
600 106 596948317
265 274 842971840
804 645 131725223
820 818 913145074
757 192 940435805
701 28 793744006
547 969 544148073
904 750 289751334
799 21 397744467
681 682 860108614
886 592 395995059
972 861 62189085
726 827 301509295
207 959 866573954
496 762 646000955
756 596 435274483
869 380 445188386
413 790 266182417
564 758 298690923
823 77 67023934
889 705 258636027
415 10 568268516
434 369 138556993
914 700 640948129
955 105 879827058
381 938 340151685
414 114 143274412
753 797 767509039
252 827 484215968
900 809 931778449
911 747 45029057
117 426 262009904
825 81 677168073
796 974 102835795
847 629 432536279
352 834 218095705
853 468 763202361
744 933 54158980
967 626 374345244
631 47 768617761
762 751 852166261
772 888 526054613
545 797 147395922
677 877 583733505
903 625 594278230
439 991 18429288
909 975 15998255
394 89 917350301
951 795 270325843
469 515 430661362
45 611 332181698
163 918 855131833
154 110 76599902
327 587 733403
843 41 329990776
447 304 817215976
870 914 852362106
658 733 53345069
409 64 886149667
271 752 969442563
667 931 123818829
601 83 461722287
338 561 466991961
539 777 342733533
22 381 603854253
114 465 759153688
943 623 175097468
948 891 189801332
204 924 533570685
606 810 8535345
556 992 380879647
269 678 401118126
778 406 313432701
389 115 787875076
511 851 969764843
842 752 24453367
774 948 567103153
57 739 279260841
728 741 650791544
575 198 916764269
998 774 241248933
101 191 641761493
754 988 424308293
200 231 842075025
600 7 231790426
750 949 410677807
60 7 984101853
619 181 373627207
893 704 35631297
950 848 161124127
853 55 650315175
12 492 817810402
962 986 89321908
436 856 713683380
843 693 763690772
153 100 645883283
267 601 801954965
914 620 296551080
444 771 401709299
776 530 855145002
743 492 587082339
784 331 282444738
1 532 288312836
788 409 107548600
615 670 888281405
918 621 368805974
967 927 946245918
526 296 894596017
839 860 436535451
714 31 790822224
455 27 699288060
628 59 474173542
894 630 776268863
865 467 137009437
921 551 917315670
364 702 917926408
583 58 390681338
908 771 760567074
957 857 109232720
576 590 380113045
978 548 418271061
217 72 6943351
219 398 321653732
956 996 62113189
374 846 25658784
597 966 660799562
286 992 940646912
324 824 956819856
771 531 914294342
860 685 598281425
934 456 1987803
186 459 595168040
796 922 23774095
319 961 275961783
569 928 853487909
345 74 524460345
821 156 22357947
229 330 644177957
535 993 205353838
502 937 53639061
941 312 400737723
939 830 279492069
881 903 394109093
994 922 193204165
442 257 442825817
734 956 159562421
954 824 260292634
402 599 617568008
471 815 698134476
93 285 496300363
471 862 913688920
572 149 695120197
915 704 155508436
621 968 678633275
345 246 975710329
900 789 227956361
739 586 743739524
461 302 217233833
575 254 204976104
666 817 360395425
850 487 69137915
650 572 992074275
487 826 978741484
769 287 82103530
831 54 995932731
782 749 276191261
456 668 681477611
820 415 756729340
636 869 476750710
628 738 337910223
114 831 842517573
776 504 925398731
486 151 471048473
832 221 923025645
971 858 861747666
236 432 708209945
523 913 890788587
204 803 688515000
99 959 610385040
791 830 791494737
756 726 461009223
784 806 278587593
753 50 372485779
950 881 361887729
691 316 989530700
695 192 588928970
627 963 582136440
380 975 379023157
930 941 313216947
172 502 764050375
531 976 714959422
694 887 670972354
837 851 505077607
17 403 250164279
633 747 700940318
759 153 761333288
146 764 145377506
834 165 823143225
618 223 952765630
419 649 962499818
989 797 191926895
507 763 890623240
165 10 905157613
808 548 995015750
958 818 360883274
241 206 636099360
85 383 578782171
804 842 511565549
283 770 2836645
996 151 9703336
562 345 942993039
852 757 418894417
547 984 406379782
742 452 113446114
656 994 956846552
964 991 506867393
278 887 65544974
307 979 339751857
128 22 548881187
105 83 137553214
769 970 1250651
930 894 235678183
474 500 208861177
730 361 374609789
326 291 420526279
705 904 606771680
389 851 714075077
808 679 206546157
506 946 288628744
775 751 220891219
967 746 284386829
789 103 980901660
675 542 23278820
220 936 823966941
332 630 772027327
328 574 956404342
446 460 928262558
947 20 181364765
383 234 742592834
263 523 468796625
942 988 58392947
901 424 294434069
528 378 947008394
558 95 214364580
539 340 498767366
447 763 463214797
931 760 833396537
988 955 348883684
872 364 234979282
93 403 339921454
659 719 71699368
69 569 47962232
819 447 113361407
659 771 966491624
469 193 656198737
283 570 535325713
955 528 554565820
880 992 42606153
337 660 402249419
54 621 732437551
805 514 143758618
128 144 126142450
497 853 318811714
605 406 228972359
720 868 678048325
542 260 979553351
93 567 758148667
931 898 755611143
424 479 572401200
254 440 715702670
469 969 934049450
684 701 777285570
514 678 41528482
76 970 389730832
558 673 33681460
976 819 108396868
652 854 261812192
222 895 567077180
983 377 820886441
658 405 406902326
750 606 739940365
236 560 952958477
581 150 928719107
921 73 986470718
126 437 311784630
287 198 430206570
110 291 978956094
485 668 533019215
786 435 254704142
938 972 368129326
995 951 335664646
300 947 445665073
867 668 945067174
76 181 814469032
669 917 28727586
488 235 606234157
866 964 528549372
538 277 622252011
552 734 864259620
863 897 726976794
945 979 966948448
290 73 457630317
261 669 932405866
997 353 322517188
879 481 101051816
384 54 758706065
660 883 921266505
450 738 103235973
21 544 704781392
111 532 27141119
821 867 849694678
475 174 793096603
772 314 272841749
108 468 922364902
912 833 986040327
892 786 168568240
188 190 114250952
824 929 788253768
539 255 69160311
547 248 151591378
933 852 796903316
838 745 786574906
967 365 995569894
356 588 555733588
731 639 447851794
405 881 362076595
743 621 703248664
385 251 607075384
470 251 683482630
774 795 758063107
358 256 644372384
766 770 603457933
275 898 554936500
765 917 836169384
896 660 49111152
370 254 289823740
622 798 351501010
972 844 744001390
918 873 26175236
215 824 87114901
44 340 882596516
501 496 644406710
319 637 906606946
108 324 546640058
166 782 712747213
144 241 668948599
948 990 484879056
694 80 886413535
480 487 693195156
881 313 901948855
710 441 130658696
604 453 657205208
975 350 58278145
522 889 506518374
203 95 889828399
486 244 187307226
648 869 371426965
920 939 289403534
227 619 582065271
944 922 881119895
453 332 217051781
616 479 891207929
828 148 589982422
629 674 650971875
755 476 126593710
899 948 33024928
23 31 25120989
731 793 721063984
688 726 285708068
252 567 610905075
514 933 281635930
835 395 979377481
241 599 939987263
660 421 388369197
935 825 78791757
217 336 449073349
531 171 334398264
79 710 220856891
982 891 928158260
297 799 416995357
895 949 144792539
43 24 863466087
947 269 989024347
615 258 127628041
220 388 962057729
965 971 982121644
422 294 404357026
863 97 555409378
65 265 497787123
601 785 624035935
414 639 361630079
154 259 120693326
543 873 790389760
811 504 80769023
663 836 794071898
605 356 128018190
419 22 403273414
698 993 405461085
589 55 142123459
272 833 893768488
796 466 246015234
462 697 460006085
731 738 976709043
891 559 237229446
797 710 652043942
559 305 703477274
917 345 926992071
673 479 929180697
475 938 53119172
746 881 480195547
583 788 111820599
904 251 106312544
527 800 23342895
931 909 512892781
451 315 902515377
944 908 586454197
864 892 676713033
698 815 513253805
144 226 886391107
139 441 584145949
667 976 488928465
973 597 530581153
840 835 428186840
774 724 56299467
964 387 813017207
957 204 601463067
769 733 120110036
595 563 692619912
908 474 396234399
519 380 92793941
218 453 252374625
409 384 92808754
906 584 772972061
916 956 938524384
456 488 308642569
232 534 5239133
363 801 679603600
602 776 819672458
849 860 567893543
671 483 701066824
30 585 869199282
471 904 158331318
429 796 147180252
318 8 907826752
648 10 627056701
541 389 824356546
707 91 202901676
701 360 304384617
470 44 773930180
740 384 900719749
784 649 926864866
943 810 675059339
17 159 648818136
743 91 151840638
900 356 516096361
955 72 818246116
511 409 295316409
751 952 71172296
112 742 107640614
463 71 383147396
875 718 102271791
205 426 39169037
292 834 72651905
728 773 422758228
252 418 886994704
807 666 746543138
2 81 247073138
657 825 646181491
877 101 503150043
600 805 44977740
444 332 19371769
741 612 194674179
301 394 756484512
531 549 150906331
899 286 298800942
835 886 372625378
927 613 438341583
919 861 341287877
116 338 401586005
248 656 93070217
309 277 438798435
897 164 112808051
482 874 820187407
788 851 612140400
240 522 84037935
748 734 799334427
811 991 875741622
397 885 645222569
606 584 6971149
614 574 314609698
413 366 409886930
109 951 356530807
651 753 382576951
275 928 191263518
107 20 348836004
716 795 764842429
866 893 837359658
992 889 202255140
40 409 591258492
916 723 136223375
283 828 418463283
905 28 209197654
804 571 803315970
688 84 954441685
464 135 960248621
275 147 719671252
846 613 8150659
886 541 610807447
368 23 917307436
875 82 552862855
40 878 158952849
692 950 479174921
682 247 440981950
139 526 625601373
235 387 985418387
948 540 716899152
876 753 114109363
523 686 226236908
174 110 754434562
404 27 705520948
798 884 675700799
403 482 56765294
373 880 226981541
639 909 536788163
361 323 488438203
337 294 721072431
481 790 556190566
653 589 711936064
827 857 499737273
578 648 333921940
559 553 436324022
627 898 87971178
964 873 598730885
614 350 57298566
346 62 184700770
381 293 347554672
128 266 28401816
143 514 470585415
531 283 964059782
778 908 263204394
